model_key,model,optimizer_key,optimizer,epochs,final_test_error,best_test_error,final_test_accuracy_pct,best_test_accuracy_pct,final_train_error
resnet_table_9,ResNet-style CNN,adam,Adam,20,0.2954000234603882,0.28790003061294556,70.45999765396118,71.20999693870544,0.250980019569397
cnn_table_7,CNN + Dropout,adam,Adam,20,0.3063000440597534,0.3063000440597534,69.36999559402466,69.36999559402466,0.2592400312423706
cnn_table_6,CNN,adam,Adam,20,0.31610000133514404,0.31610000133514404,68.3899998664856,68.3899998664856,0.2112399935722351
vgg_table_8,VGG-style CNN,adam,Adam,20,0.3522999882698059,0.3522999882698059,64.77000117301941,64.77000117301941,0.3195599913597107
resnet_table_9,ResNet-style CNN,sgdm,SGD + Momentum,20,0.40119999647140503,0.39259999990463257,59.8800003528595,60.74000000953674,0.36458003520965576
resnet_table_9,ResNet-style CNN,sgd,SGD,20,0.4097999930381775,0.39490002393722534,59.02000069618225,60.509997606277466,0.36844003200531006
vgg_table_8,VGG-style CNN,sgdm,SGD + Momentum,20,0.41040003299713135,0.4049000144004822,58.959996700286865,59.50999855995178,0.38109999895095825
vgg_table_8,VGG-style CNN,sgd,SGD,20,0.41600000858306885,0.40790003538131714,58.399999141693115,59.209996461868286,0.3863000273704529
cnn_table_6,CNN,sgd,SGD,20,0.4896000027656555,0.4555000066757202,51.03999972343445,54.44999933242798,0.4722999930381775
cnn_table_7,CNN + Dropout,sgd,SGD,20,0.5112999975681305,0.5016000270843506,48.87000024318695,49.83999729156494,0.495140016078949
cnn_table_6,CNN,sgdm,SGD + Momentum,20,0.5509999990463257,0.5252000093460083,44.90000009536743,47.47999906539917,0.5398200154304504
cnn_table_7,CNN + Dropout,sgdm,SGD + Momentum,20,0.537200003862381,0.5351000130176544,46.2799996137619,46.48999869823456,0.5213200151920319
deep_mlp,Deep MLP,adam,Adam,20,0.5861999988555908,0.5717000067234039,41.38000011444092,42.82999932765961,0.5069800019264221
deep_mlp_relu,Deep MLP (ReLU),adam,Adam,20,0.5920000076293945,0.5780999958515167,40.79999923706055,42.19000041484833,0.5166800022125244
shallow_mlp,Shallow MLP,adam,Adam,20,0.6018000245094299,0.588100016117096,39.81999754905701,41.189998388290405,0.5411800146102905
deep_mlp_relu,Deep MLP (ReLU),sgd,SGD,20,0.6109000146389008,0.5995000004768372,38.909998536109924,40.049999952316284,0.5888600051403046
deep_mlp_relu,Deep MLP (ReLU),sgdm,SGD + Momentum,20,0.6106000244617462,0.6007000207901001,38.93999755382538,39.92999792098999,0.5882800221443176
deep_mlp,Deep MLP,sgd,SGD,20,0.6314000189304352,0.6265999972820282,36.85999810695648,37.34000027179718,0.6150000095367432
deep_mlp,Deep MLP,sgdm,SGD + Momentum,20,0.6335000097751617,0.6274000108242035,36.649999022483826,37.25999891757965,0.614659994840622
shallow_mlp,Shallow MLP,sgdm,SGD + Momentum,20,0.6509000062942505,0.6436000168323517,34.90999937057495,35.63999831676483,0.635340005159378
shallow_mlp,Shallow MLP,sgd,SGD,20,0.6509000062942505,0.6436000168323517,34.90999937057495,35.63999831676483,0.635340005159378
linear_classifier,Linear classifier,adam,Adam,20,0.6983000040054321,0.6983000040054321,30.169999599456787,30.169999599456787,0.6922599971294403
linear_classifier,Linear classifier,sgd,SGD,20,0.7023999989032745,0.701200008392334,29.760000109672546,29.8799991607666,0.6954800188541412
linear_classifier,Linear classifier,sgdm,SGD + Momentum,20,0.7012999951839447,0.7012999951839447,29.87000048160553,29.87000048160553,0.6948600113391876
